[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccc080 with size 80 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xca9a88 with size 4 entered data region. Depth is 1.
[TRACE]    bt.c:96                   dvmh2.cpp:1135            THREAD main: New dspace local part:
[TRACE]    bt.c:96                   dvmh2.cpp:1136            THREAD main: [6..12][6..12][0..5][0..2][0..4][0..4]
[TRACE]    bt.c:96                   distrib.cpp:2288          THREAD main: Mapping rect to dspace part. Rect:
[TRACE]    bt.c:96                   distrib.cpp:2289          THREAD main: [0..12][0..12][0..12][0..2][0..4][0..4]
[TRACE]    bt.c:96                   distrib.cpp:2290          THREAD main: Part:
[TRACE]    bt.c:96                   distrib.cpp:2291          THREAD main: [6..12][6..12][0..5][0..2][0..4][0..4]
[TRACE]    bt.c:96                   distrib.cpp:2355          THREAD main: Result (hasLocal=1):
[TRACE]    bt.c:96                   distrib.cpp:2356          THREAD main: [6..12][6..12][0..5][0..2][0..4][0..4]
[TRACE]    bt.c:96                   dvmh2.cpp:1437            THREAD main: New local part:
[TRACE]    bt.c:96                   dvmh2.cpp:1438            THREAD main: [6..12][6..12][0..5][0..2][0..4][0..4]
[TRACE]    bt.c:99                   distrib.cpp:2288          THREAD main: Mapping rect to dspace part. Rect:
[TRACE]    bt.c:99                   distrib.cpp:2289          THREAD main: [0..11][0..12][0..12]
[TRACE]    bt.c:99                   distrib.cpp:2290          THREAD main: Part:
[TRACE]    bt.c:99                   distrib.cpp:2291          THREAD main: [6..12][6..12][0..5][0..2][0..4][0..4]
[TRACE]    bt.c:99                   distrib.cpp:2355          THREAD main: Result (hasLocal=1):
[TRACE]    bt.c:99                   distrib.cpp:2356          THREAD main: [6..11][6..12][0..5]
[TRACE]    bt.c:99                   dvmh2.cpp:1437            THREAD main: New local part:
[TRACE]    bt.c:99                   dvmh2.cpp:1438            THREAD main: [6..11][6..12][0..5]
[TRACE]    bt.c:101                  distrib.cpp:2288          THREAD main: Mapping rect to dspace part. Rect:
